,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size,Month,Day,Week
0,Other,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Offer1,Agent,Two-Door Car,Medsize,2,24,8
1,Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,1,31,5
2,Other,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,2,19,7
3,California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,Offer1,Call Center,SUV,Medsize,1,20,3
4,Other,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,3,5
5,Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer2,Web,Two-Door Car,Medsize,1,25,4
6,Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,2,24,8
7,Arizona,No,Premium,Master/Doctor,Unemployed,M,Urban,Single,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,1,18,3
8,Oregon,Yes,Basic,Bachelor,Other,M,Suburban,Divorced,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,1,26,4
9,Oregon,No,Extended,College,Employed,F,Urban,Married,Special Auto,Offer2,Branch,Four-Door Car,Medsize,2,17,7
10,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small,2,21,8
11,California,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Offer2,Agent,SUV,Medsize,1,6,1
12,California,No,Premium,Master/Doctor,Employed,M,Urban,Married,Corporate Auto,Offer2,Agent,Four-Door Car,Medsize,2,6,5
13,Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer2,Branch,SUV,Medsize,1,10,2
14,California,No,Basic,College,Employed,M,Urban,Single,Corporate Auto,Offer4,Call Center,Four-Door Car,Medsize,1,18,3
15,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Offer2,Branch,Four-Door Car,Medsize,1,17,3
16,Other,No,Basic,High School or Below,Other,M,Suburban,Married,Personal Auto,Offer2,Call Center,Two-Door Car,Medsize,2,6,5
17,California,No,Basic,College,Other,M,Suburban,Married,Personal Auto,Offer3,Call Center,SUV,Medsize,1,5,1
18,Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,2,27,8
19,California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Offer1,Call Center,Four-Door Car,Small,1,14,2
20,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer1,Branch,Two-Door Car,Medsize,2,19,7
21,Other,No,Extended,Bachelor,Other,F,Suburban,Divorced,Personal Auto,Offer4,Call Center,Four-Door Car,Medsize,1,21,3
22,Arizona,Yes,Basic,Bachelor,Other,M,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,26,4
23,Other,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Branch,Four-Door Car,Medsize,2,24,8
24,California,No,Basic,Bachelor,Other,F,Suburban,Married,Corporate Auto,Offer2,Branch,Four-Door Car,Medsize,2,5,5
25,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Large,1,29,4
26,California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small,2,28,9
27,Other,No,Extended,Master/Doctor,Other,F,Urban,Married,Corporate Auto,Offer1,Branch,SUV,Medsize,2,12,6
28,Arizona,No,Premium,College,Employed,F,Suburban,Single,Personal Auto,Offer1,Call Center,Four-Door Car,Large,2,2,5
29,Oregon,No,Extended,Master/Doctor,Employed,F,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Small,2,7,6
30,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer4,Call Center,Four-Door Car,Small,2,28,9
31,Other,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,Offer2,Agent,Luxury SUV,Medsize,1,22,3
32,California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,1,25,4
33,Other,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Offer1,Agent,Two-Door Car,Small,1,18,3
34,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Offer3,Web,Four-Door Car,Medsize,2,13,6
35,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,1,15,2
36,California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Small,1,8,1
37,Oregon,No,Extended,Master/Doctor,Employed,F,Suburban,Married,Personal Auto,Offer2,Web,Four-Door Car,Small,2,6,5
38,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer3,Agent,Two-Door Car,Small,1,25,4
39,Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,2,7,6
40,Other,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate Auto,Offer3,Call Center,Two-Door Car,Medsize,1,18,3
41,Oregon,Yes,Basic,College,Employed,F,Rural,Single,Corporate Auto,Offer2,Agent,Two-Door Car,Medsize,1,11,2
42,California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Small,1,28,4
43,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer4,Agent,Sports Car,Medsize,2,8,6
44,Other,No,Basic,College,Employed,M,Suburban,Married,Special Auto,Offer2,Call Center,Four-Door Car,Large,2,23,8
45,Oregon,No,Premium,Master/Doctor,Other,F,Rural,Married,Personal Auto,Offer1,Branch,SUV,Medsize,1,25,4
46,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer3,Call Center,Four-Door Car,Medsize,1,31,5
47,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,Offer4,Agent,Two-Door Car,Medsize,1,2,52
48,California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,Offer2,Call Center,Four-Door Car,Medsize,2,7,6
49,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,1,18,3
50,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,SUV,Small,1,17,3
51,California,Yes,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Offer1,Web,SUV,Medsize,1,11,2
52,Other,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Offer4,Branch,Four-Door Car,Medsize,2,21,8
53,Other,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer4,Agent,Four-Door Car,Medsize,2,16,7
54,California,No,Premium,Bachelor,Other,M,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Small,1,17,3
55,Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate Auto,Offer3,Call Center,Four-Door Car,Small,2,5,5
56,California,No,Basic,College,Employed,M,Urban,Married,Special Auto,Offer2,Branch,Four-Door Car,Medsize,2,13,6
57,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Call Center,SUV,Small,2,23,8
58,Oregon,No,Extended,High School or Below,Other,F,Suburban,Divorced,Personal Auto,Offer1,Call Center,SUV,Medsize,1,28,4
59,Oregon,No,Premium,Master/Doctor,Other,F,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,28,9
60,Arizona,Yes,Basic,Bachelor,Other,M,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,2,52
61,California,No,Premium,Bachelor,Other,F,Suburban,Married,Personal Auto,Offer1,Call Center,Two-Door Car,Small,1,22,3
62,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Two-Door Car,Small,1,15,2
63,California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,SUV,Medsize,1,27,4
64,Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Branch,Four-Door Car,Large,1,23,3
65,Other,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer3,Web,Four-Door Car,Medsize,1,31,5
66,Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,Offer1,Agent,SUV,Medsize,1,26,4
67,Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,Offer4,Branch,Two-Door Car,Small,1,10,2
68,Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal Auto,Offer1,Call Center,Two-Door Car,Large,1,27,4
69,California,No,Premium,College,Other,F,Suburban,Married,Personal Auto,Offer3,Web,Four-Door Car,Medsize,1,9,1
70,Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Offer4,Agent,SUV,Medsize,2,24,8
71,Oregon,No,Basic,Master/Doctor,Employed,M,Rural,Married,Personal Auto,Offer2,Web,Two-Door Car,Large,2,11,6
72,Oregon,No,Basic,Master/Doctor,Other,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,12,6
73,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Sports Car,Medsize,2,4,5
74,Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Offer2,Branch,Two-Door Car,Medsize,1,18,3
75,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Small,2,11,6
76,Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize,2,1,5
77,Other,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,2,15,7
78,Other,No,Extended,College,Employed,M,Rural,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,6,5
79,California,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Offer2,Branch,Luxury Car,Small,2,27,8
80,California,No,Extended,College,Unemployed,F,Rural,Single,Personal Auto,Offer3,Branch,Two-Door Car,Large,1,26,4
81,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize,2,26,8
82,California,No,Basic,Master/Doctor,Employed,M,Suburban,Married,Personal Auto,Offer3,Branch,SUV,Medsize,1,27,4
83,Other,No,Basic,Master/Doctor,Employed,M,Suburban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Large,1,16,2
84,Oregon,No,Extended,College,Other,F,Suburban,Single,Personal Auto,Offer2,Agent,Four-Door Car,Small,1,27,4
85,Other,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,2,28,9
86,California,Yes,Extended,College,Other,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,25,4
87,California,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,Offer3,Web,Four-Door Car,Medsize,1,1,52
88,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Offer3,Branch,Four-Door Car,Medsize,2,1,5
89,California,Yes,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,2,19,7
90,Oregon,No,Premium,College,Other,M,Suburban,Married,Personal Auto,Offer2,Branch,Two-Door Car,Small,1,27,4
91,Other,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Offer2,Call Center,Two-Door Car,Medsize,2,27,8
92,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,1,17,3
93,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Offer1,Branch,Two-Door Car,Small,2,10,6
94,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,24,4
