,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,customer_lifetime_value_transformed,total_claim_amount_transformed
0,2763.519279,56274,69,32,5,0,1,384.811147,7.924260247547156,5.952752686667197
1,6979.535903,0,94,13,42,0,8,1131.464935,8.850737704004343,7.031268474756897
2,12887.43165,48767,108,18,38,0,2,566.472247,9.464007824722403,6.339428088976735
3,7645.861827,0,106,18,65,0,7,529.881344,8.94191984281397,6.272653102236185
4,2813.692575,43836,73,12,44,0,1,138.130879,7.9422529833054405,4.92820163426217
5,8256.2978,62902,69,14,94,0,2,159.383042,9.018731557807245,5.07131037424749
6,5380.898636,55350,67,0,13,0,9,321.6,8.590610671921175,5.773308537304811
7,7216.100311,0,101,0,68,0,4,363.02968,8.884069962837636,5.894484594007832
8,24127.50402,14072,71,13,3,0,2,511.2,10.091107714396136,6.236760903063325
9,7388.178085,28812,93,17,7,0,8,425.527834,8.907636445657747,6.053330360680084
10,4738.992022,0,67,23,5,0,3,482.4,8.463579738488644,6.178773645412976
11,8197.197078,0,110,27,87,0,3,528.0,9.011547555062558,6.269096283706261
12,8798.797003,77026,110,9,82,2,3,472.029737,9.08237028691688,6.1570419857196494
13,8819.018934,99845,110,23,25,1,8,528.0,9.084665910841313,6.269096283706261
14,5384.431665,83689,70,21,10,2,8,307.139132,8.591267043630738,5.727300843620753
15,7463.139377,24599,64,12,50,1,2,42.920271,8.917731432690617,3.7593442318152572
16,2566.867823,25049,67,14,7,0,1,454.245098,7.850441688700097,6.118636915803633
17,3945.241604,28855,101,12,59,0,1,647.442031,8.280265474497215,6.473029262152747
18,5710.333115,51148,72,9,1,0,7,308.981664,8.65003263982757,5.733281935331244
19,8162.617053,66140,101,11,21,0,3,484.8,9.007320113818771,6.1837364347551045
20,2872.051273,57749,74,31,21,0,1,355.2,7.962781782724634,5.872681011118015
21,3041.791561,13789,79,8,49,0,1,379.2,8.020201950090282,5.938063770380866
22,24127.50402,14072,71,13,3,0,2,511.2,10.091107714396136,6.236760903063325
23,2450.190996,0,73,4,44,3,1,554.376763,7.803921258051261,6.317844533216623
24,2392.10789,17870,61,30,91,0,1,439.2,7.779930218568395,6.084954890195321
25,5802.065978,97541,72,22,1,0,3,389.185006,8.665969336212694,5.96405482438988
26,3946.372085,0,111,15,47,0,1,799.2,8.280551976359137,6.683611227334344
27,5346.916576,10511,139,33,64,0,1,516.237951,8.584275332807195,6.246567804535561
28,12902.56014,86584,111,33,54,2,2,532.8,9.465181031124207,6.27814611922618
29,3235.360468,75690,80,17,44,1,1,384.0,8.081895628239009,5.950642552587727
30,2454.58354,23158,63,4,6,1,1,322.294043,7.805712388364015,5.775464305870565
31,18975.45611,65999,237,1,14,0,6,615.927769,9.85090163939259,6.423129698541366
32,4715.321344,0,65,19,56,0,3,308.15089,8.458572346297702,5.730589565607878
33,5018.885233,54500,63,28,17,0,6,302.4,8.520963122886219,5.711750644305378
34,4932.916345,37260,62,19,42,0,8,15.437681,8.503685642849524,2.7368113390158184
35,5744.229745,68987,71,11,40,0,6,204.475147,8.655951107316765,5.320446437535072
36,13891.73567,42305,117,10,62,0,2,561.6,9.539049386185098,6.330789852711601
37,7380.976717,65706,91,19,86,0,8,436.8,8.90666125531446,6.079475424430695
38,3090.034104,0,90,7,79,0,1,648.0,8.03593740672409,6.473890696352274
39,2521.633095,53243,66,4,15,2,1,157.397849,7.83266202418086,5.0587766700703565
40,2652.061785,0,70,7,1,1,1,484.318536,7.8830926485456825,6.182742822473993
41,2771.045031,50071,71,3,32,0,1,18.918935,7.926979795542917,2.940163272398819
42,3939.00637,60021,99,12,28,0,1,882.871945,8.278683780131315,6.783180167437102
43,12231.87968,43244,103,15,16,0,2,494.4,9.411800911066079,6.203344906143481
44,2443.665166,92834,61,15,56,0,1,292.8,7.801254308450801,5.679489782087156
45,12819.10289,10105,172,5,4,3,3,0.517753,9.458691750647034,-0.6582569844209609
46,4468.510542,0,73,7,57,3,5,579.165954,8.404810419999597,6.361589058266484
47,5514.344018,23218,71,7,10,0,4,447.79344,8.615107979554148,6.104332054660299
48,3343.875326,0,92,11,77,0,1,529.624084,8.11488569061483,6.27216747941962
49,2294.478927,0,62,11,56,0,1,313.023175,7.738261049656736,5.746277229332761
50,36707.42639,24804,104,1,28,0,2,593.830288,10.510734367522817,6.386593568101931
51,33473.34946,33190,106,18,95,0,2,508.8,10.41850486269701,6.232055012025913
52,7983.431709,36014,69,4,40,3,2,173.956072,8.98512363672551,5.158802807571082
53,4854.745666,29834,64,19,44,0,3,307.2,8.48771199335941,5.727499001273517
54,4293.997319,16701,113,20,26,0,1,831.625979,8.36497335407896,6.723382795274646
55,7164.395543,46623,91,1,53,0,3,436.8,8.876878974247175,6.079475424430695
56,7619.5158,64749,64,24,59,0,2,302.56519,8.938468103354644,5.712296758385447
57,3958.002823,0,101,29,12,0,1,484.8,8.283494839401266,6.1837364347551045
58,4499.493252,16969,124,34,47,2,1,704.768111,8.411720058750687,6.557868828138658
59,4059.567414,11621,108,4,98,0,1,518.4,8.308831698643246,6.250747145038065
60,4458.113369,17622,65,1,36,1,3,312.0,8.402480944084555,5.7430031878094825
61,8110.333139,11489,105,4,50,0,6,504.0,9.000894223824368,6.222576268071369
62,3339.764873,0,94,20,53,0,1,863.327324,8.11365568618735,6.760793905383488
63,24261.01777,66525,100,0,86,0,2,104.331355,10.096626134214922,4.647571940030927
64,6613.973653,0,63,21,28,0,2,676.391482,8.796939910013997,6.516772023804977
65,2930.693543,33663,73,29,71,0,1,350.4,7.982994378096682,5.859075359062237
66,8672.194272,22547,112,7,60,0,3,537.6,9.067877125642523,6.28711478920894
67,11638.66926,61486,97,5,65,0,2,465.258644,9.362088390007589,6.142593474608231
68,6846.150323,0,95,13,20,0,5,456.0,8.83144177663463,6.1224928095143865
69,11727.77648,29879,102,17,0,0,2,500.254235,9.369715365281785,6.215116439195125
70,22643.83478,93011,113,17,12,0,2,281.451042,10.02764289871587,5.639958514159355
71,2614.474305,65186,65,29,27,0,1,5.434505,7.868818325696931,1.6927684400685237
72,2451.752695,26840,64,1,47,2,1,307.2,7.804558433486672,5.727499001273517
73,6781.270203,0,104,30,3,1,5,982.399613,8.821919708962671,6.889998163459576
74,4974.801539,75644,65,5,68,3,9,467.803638,8.512140757138708,6.148048630947543
75,8591.604933,38984,73,27,38,0,2,350.4,9.058540834895407,5.859075359062237
76,5592.161392,71811,71,17,48,0,6,29.03416,8.629121144727497,3.3684730678045165
77,8009.472833,20961,67,20,33,0,2,321.6,8.988380224288605,5.773308537304811
78,11318.08982,38923,99,6,83,2,2,115.728852,9.33415759370208,4.7512499721702435
79,58166.55351,61321,186,0,30,1,2,427.63121,10.971065786567797,6.058261165261895
80,8025.229358,0,77,20,26,0,2,25.807685,8.99034552802594,3.250672315790696
81,5780.182197,51066,74,23,0,0,8,787.993313,8.662190483141934,6.669489603781264
82,4118.539113,34378,102,12,54,0,1,489.6,8.32325379524042,6.193588731198116
83,2523.07015,43072,63,35,15,0,1,302.4,7.833231752455876,5.711750644305378
84,6554.216396,25222,90,28,69,0,3,475.623251,8.787863846107655,6.1646260513424345
85,7703.397294,36765,66,15,32,1,2,320.849072,8.949416717551568,5.77097083187506
86,5926.729379,23091,96,28,90,5,5,460.8,8.687227801727381,6.132964109381682
87,2683.470677,48269,69,3,79,3,1,282.151207,7.894866264409799,5.6424431222723825
88,2695.182419,32720,67,13,12,0,1,321.6,7.899221168993003,5.773308537304811
89,6047.02516,20396,76,15,60,1,4,364.8,8.707321721005421,5.899349258200177
90,13171.01282,21513,119,21,81,1,2,679.827592,9.485773695349115,6.521839224846683
91,10656.88195,72540,88,7,3,0,2,631.743039,9.273961154933367,6.448482727608469
92,2527.653796,80744,63,24,84,0,1,11.879037,7.8350467981037335,2.4747752500428497
93,2672.095756,52822,67,23,88,0,1,350.529033,7.89061837084076,5.859443536139751
94,5313.294035,0,77,8,10,1,9,863.3947,8.577967267475595,6.760871944580415
95,20946.19251,69738,74,2,26,1,2,492.127532,9.949712167067139,6.198737894284956
96,8375.353929,17780,109,12,18,0,9,132.588288,9.033048615979435,4.887248748058955
97,4801.661503,18107,62,29,11,0,8,297.6,8.476717283459452,5.6957503029589365
98,5745.94334,57740,74,30,87,3,9,269.905129,8.656249378717906,5.598070523177967
99,6066.115969,32627,76,11,60,0,7,380.036697,8.710473805935878,5.940267819110379
100,8002.308333,0,107,3,65,0,3,513.6,8.987485320666844,6.2414447523757515
101,2393.915369,0,70,24,10,0,1,425.266308,7.780685534198143,6.052715579747009
102,4762.8179,65795,62,2,85,1,3,49.011099,8.468594767863399,3.8920467826651453
103,4330.38602,60475,107,9,18,0,1,513.6,8.373411967138374,6.2414447523757515
104,9402.729769,0,130,28,88,0,4,936.0,9.148755327057346,6.841615476477592
105,6966.694527,41837,88,29,93,0,9,142.062768,8.848896148367706,4.956268988104603
106,7694.064293,32303,65,13,34,0,2,45.152521,8.948204439528952,3.8100461144061
107,8717.561149,0,117,5,89,1,3,561.6,9.073094793036246,6.330789852711601
108,5928.748528,40531,74,17,32,0,9,30.567357,8.687568428910083,3.4199326748540053
109,2452.977288,79898,62,5,86,1,1,271.606799,7.805057785348932,5.604355428508184
110,6701.571657,56398,85,4,18,0,7,408.0,8.810097353542128,6.0112671744041615
111,7556.24034,35257,98,16,2,1,8,470.4,8.930129035950374,6.153583396584417
112,8492.6988,27804,109,19,54,0,7,784.8,9.046962108650952,6.665428908251153
113,7713.494046,45506,66,16,32,2,2,316.8,8.950726547558263,5.758270659940271
114,24084.5352,65196,67,0,54,0,2,396.082036,10.089325220559651,5.9816213514156376
115,7290.069769,0,102,11,70,1,3,489.6,8.89426839546445,6.193588731198116
116,4772.943848,20993,133,35,90,0,1,638.4,8.470718552428,6.458965046135599
117,6806.491395,37839,86,35,77,0,9,465.633954,8.82563205271901,6.143399819016043
118,2469.781334,92711,62,24,10,0,1,368.400146,7.811884896958183,5.909169700689434
119,3103.923041,74665,78,10,90,2,1,236.902001,8.040422087503478,5.467646557731009
120,2981.875575,0,83,26,89,0,1,582.679087,8.000307769102044,6.367636583681737
121,8902.737595,46833,112,6,3,0,9,64.109663,9.094114103366426,4.160595101395114
122,5499.447223,88768,68,17,77,0,7,326.4,8.612402861260515,5.788123623089952
123,15023.59858,28262,192,9,77,0,3,921.6,9.617377482507496,6.826111289941627
124,2509.107875,33555,63,17,11,0,1,101.89645,7.827682540659373,4.623957101545273
125,31221.7481,42780,113,10,27,1,2,542.4,10.34887018545511,6.296003736626186
126,3133.503432,58850,78,20,26,0,1,143.747794,8.04990696492502,4.968060333472751
127,3837.451863,21880,97,29,37,0,1,424.077159,8.25256384797313,6.049915417449414
128,11790.49617,25251,66,13,43,0,2,316.8,9.375049076615376,5.758270659940271
129,7838.068321,0,69,9,12,0,2,2.704934,8.966747695358483,0.9950775127401497
130,4305.808345,24188,109,14,82,0,1,523.2,8.367720168108866,6.259963800142989
131,5973.976904,41611,74,14,8,0,8,113.801497,8.695168132682207,4.734455676263003
132,5670.442396,28406,72,16,35,1,4,192.87572,8.643022417663975,5.262046043664044
133,4731.749346,69833,118,32,99,0,1,828.662719,8.46205025370377,6.719813219513484
134,8026.379641,0,74,15,91,0,2,532.8,8.99048885110365,6.27814611922618
135,4022.963529,0,117,6,1,0,1,975.107098,8.299774106286026,6.88254730906799
136,9618.310865,80536,119,5,83,0,3,53.798708,9.171423942483932,3.9852494520094885
137,2274.775451,0,63,2,5,0,1,606.642452,7.72963662365646,6.4079395763204205
138,9552.926922,97732,79,0,70,0,2,289.9122,9.164602870497212,5.669578118519186
139,10388.55323,61222,89,20,55,0,2,392.604371,9.248459828006833,5.972802415249564
140,2470.121222,0,74,7,20,0,1,721.242206,7.812022506150544,6.580975011524753
141,5619.068508,50335,140,9,54,0,1,456.52385,8.633921183242892,6.123640944015299
142,9047.119209,0,127,30,11,0,6,1087.995426,9.110201666572069,6.992092223362933
143,6692.143668,63221,168,28,49,0,1,806.4,8.808689530495514,6.6925798973171045
144,3731.504584,0,96,31,34,0,1,460.8,8.224566805031092,6.132964109381682
145,3660.770258,64495,92,34,30,0,1,251.992083,8.205428857258749,5.529397670351243
146,7928.829252,0,72,7,75,0,2,345.6,8.978260668420775,5.845282036929901
147,5011.751577,28859,67,24,51,3,4,321.6,8.519540749145083,5.773308537304811
148,7988.258292,77330,99,0,21,0,3,99.257608,8.985728029015444,4.597718571541301
149,3885.456401,0,105,3,92,0,1,504.0,8.264995733636656,6.222576268071369
150,2659.337982,24495,70,29,65,0,1,336.0,7.885832491852872,5.817111159963204
151,8564.768226,95697,107,29,29,0,9,178.006524,9.05541234979663,5.181820201305822
152,4885.162511,26372,126,11,7,0,1,604.8,8.493957831272565,6.404897824865323
153,9753.307106,17514,127,2,5,0,3,8.312729,9.185361696838822,2.11778795447469
154,2946.153697,89270,74,17,90,0,1,316.599228,7.988255767080568,5.757636709035853
155,2581.110945,29757,65,13,55,0,1,312.0,7.855975184071798,5.7430031878094825
156,3517.385764,51814,92,28,89,0,1,56.300724,8.165473311986403,4.030707394743244
157,9743.350113,24028,82,14,27,0,2,393.6,9.184340291604704,5.975335165178098
